organisation_id,organisation_code,organisation_name,organisation_type,parent_organisation_id,region,active_flag,valid_from,valid_to
ORG-000000001,SYN-ORG-001,Synthetic Trust 001,TRUST,,SYNTHETIC_NORTH,true,2015-01-04,
ORG-000000002,SYN-ORG-002,Synthetic Hospital 002,HOSPITAL,,SYNTHETIC_CENTRAL,true,2015-01-04,
ORG-000000003,SYN-ORG-003,Synthetic Community Provider 003,COMMUNITY_PROVIDER,,SYNTHETIC_SOUTH,true,2015-01-04,
ORG-000000004,SYN-ORG-004,Synthetic Gp Practice 004,GP_PRACTICE,,SYNTHETIC_NORTH,true,2015-01-04,
ORG-000000005,SYN-ORG-005,Synthetic Laboratory 005,LABORATORY,,SYNTHETIC_CENTRAL,true,2015-01-04,
ORG-000000006,SYN-ORG-006,Synthetic Research Organisation 006,RESEARCH_ORGANISATION,,SYNTHETIC_SOUTH,true,2015-01-04,
ORG-000000007,SYN-ORG-007,Synthetic Trust 007,TRUST,ORG-000000001,SYNTHETIC_NORTH,true,2015-01-04,
ORG-000000008,SYN-ORG-008,Synthetic Hospital 008,HOSPITAL,ORG-000000001,SYNTHETIC_CENTRAL,true,2015-01-04,
ORG-000000009,SYN-ORG-009,Synthetic Community Provider 009,COMMUNITY_PROVIDER,ORG-000000001,SYNTHETIC_SOUTH,true,2015-01-04,
ORG-000000010,SYN-ORG-010,Synthetic Gp Practice 010,GP_PRACTICE,ORG-000000001,SYNTHETIC_NORTH,true,2015-01-04,
ORG-000000011,SYN-ORG-011,Synthetic Laboratory 011,LABORATORY,ORG-000000001,SYNTHETIC_CENTRAL,true,2015-01-04,
ORG-000000012,SYN-ORG-012,Synthetic Research Organisation 012,RESEARCH_ORGANISATION,ORG-000000001,SYNTHETIC_SOUTH,true,2015-01-04,
