revenue_event_id,invoice_id,invoice_line_id,claim_id,billable_activity_id,event_type,event_datetime,amount,currency,source_status,source_system,updated_at
REV-000000001,INV-000000001,INVL-000000001,,BACT-000000001,BILLED,2022-01-16T12:00:00,175.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000002,INV-000000002,INVL-000000002,,BACT-000000002,BILLED,2023-09-14T12:00:00,300.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000003,INV-000000003,INVL-000000003,,BACT-000000003,BILLED,2024-12-05T12:00:00,112.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000004,INV-000000004,INVL-000000004,,BACT-000000004,BILLED,2022-03-30T12:00:00,250.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000005,INV-000000005,INVL-000000005,,BACT-000000005,BILLED,2022-04-08T12:00:00,412.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000006,INV-000000006,INVL-000000006,,BACT-000000006,BILLED,2024-06-16T12:00:00,150.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000007,INV-000000007,INVL-000000007,,BACT-000000007,BILLED,2022-05-19T12:00:00,325.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000008,INV-000000008,INVL-000000008,,BACT-000000008,BILLED,2024-01-02T12:00:00,525.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000009,INV-000000009,INVL-000000009,,BACT-000000009,BILLED,2024-10-20T12:00:00,187.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000010,INV-000000010,INVL-000000010,,BACT-000000010,BILLED,2022-06-28T12:00:00,400.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000011,INV-000000011,INVL-000000011,,BACT-000000011,BILLED,2022-12-15T12:00:00,637.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000012,INV-000000012,INVL-000000012,,BACT-000000012,BILLED,2024-07-07T12:00:00,225.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000013,INV-000000013,INVL-000000013,,BACT-000000013,BILLED,2023-08-31T12:00:00,475.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000014,INV-000000014,INVL-000000014,,BACT-000000014,BILLED,2024-08-31T12:00:00,750.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000015,INV-000000015,INVL-000000015,,BACT-000000015,BILLED,2022-11-20T12:00:00,262.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000016,INV-000000016,INVL-000000016,,BACT-000000016,BILLED,2022-04-15T12:00:00,550.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000017,INV-000000017,INVL-000000017,,BACT-000000017,BILLED,2024-11-12T12:00:00,262.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000018,INV-000000018,INVL-000000018,,BACT-000000018,BILLED,2023-06-06T12:00:00,100.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000019,INV-000000019,INVL-000000019,,BACT-000000019,BILLED,2023-03-09T12:00:00,225.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000020,INV-000000020,INVL-000000020,,BACT-000000020,BILLED,2022-08-23T12:00:00,375.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000021,INV-000000021,INVL-000000021,,BACT-000000021,BILLED,2024-05-01T12:00:00,137.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000022,INV-000000022,INVL-000000022,,BACT-000000022,BILLED,2022-06-27T12:00:00,300.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000023,INV-000000023,INVL-000000023,,BACT-000000023,BILLED,2023-06-28T12:00:00,487.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000024,INV-000000024,INVL-000000024,,BACT-000000024,BILLED,2024-05-21T12:00:00,175.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000025,INV-000000025,INVL-000000025,,BACT-000000025,BILLED,2022-08-05T12:00:00,375.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000026,INV-000000026,INVL-000000026,,BACT-000000026,BILLED,2023-05-25T12:00:00,600.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000027,INV-000000027,INVL-000000027,,BACT-000000027,BILLED,2022-06-30T12:00:00,212.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000028,INV-000000028,INVL-000000028,,BACT-000000028,BILLED,2022-10-24T12:00:00,450.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000029,INV-000000029,INVL-000000029,,BACT-000000029,BILLED,2022-10-05T12:00:00,712.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000030,INV-000000030,INVL-000000030,,BACT-000000030,BILLED,2022-06-23T12:00:00,250.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
