service_id,service_code,service_name,service_category,specialty,billable_flag,active_flag,valid_from,valid_to,source_system,updated_at
SRV-000000001,SYN-SRV-001,Synthetic Consultation,CONSULTATION,GENERAL_MEDICINE,true,true,2022-01-02,,SYN-BILLING,2025-01-01T09:00:00
SRV-000000002,SYN-SRV-002,Synthetic Diagnostic Test,DIAGNOSTIC_TEST,CARDIOLOGY,true,true,2022-01-02,,SYN-BILLING,2025-01-01T09:00:00
SRV-000000003,SYN-SRV-003,Synthetic Procedure,PROCEDURE,ORTHOPAEDICS,true,true,2022-01-02,,SYN-BILLING,2025-01-01T09:00:00
SRV-000000004,SYN-SRV-004,Synthetic Treatment,TREATMENT,ONCOLOGY,true,true,2022-01-02,,SYN-BILLING,2025-01-01T09:00:00
SRV-000000005,SYN-SRV-005,Synthetic Bed Day,BED_DAY,PATHOLOGY,true,true,2022-01-02,,SYN-BILLING,2025-01-01T09:00:00
SRV-000000006,SYN-SRV-006,Synthetic Medication Service,MEDICATION_SERVICE,GENERAL_MEDICINE,true,true,2022-01-02,,SYN-BILLING,2025-01-01T09:00:00
SRV-000000007,SYN-SRV-007,Synthetic Virtual Consultation,VIRTUAL_CONSULTATION,CARDIOLOGY,true,true,2022-01-02,,SYN-BILLING,2025-01-01T09:00:00
SRV-000000008,SYN-SRV-008,Synthetic Administrative,ADMINISTRATIVE,ORTHOPAEDICS,false,true,2022-01-02,,SYN-BILLING,2025-01-01T09:00:00
SRV-000000009,SYN-SRV-009,Synthetic Consultation,CONSULTATION,ONCOLOGY,true,true,2022-01-02,,SYN-BILLING,2025-01-01T09:00:00
SRV-000000010,SYN-SRV-010,Synthetic Diagnostic Test,DIAGNOSTIC_TEST,PATHOLOGY,true,true,2022-01-02,,SYN-BILLING,2025-01-01T09:00:00
SRV-000000011,SYN-SRV-011,Synthetic Procedure,PROCEDURE,GENERAL_MEDICINE,true,true,2022-01-02,,SYN-BILLING,2025-01-01T09:00:00
SRV-000000012,SYN-SRV-012,Synthetic Treatment,TREATMENT,CARDIOLOGY,true,true,2022-01-02,,SYN-BILLING,2025-01-01T09:00:00
