tariff_id,tariff_code,service_id,product_id,payer_type,specialty,currency,unit_price,valid_from,valid_to,active_flag,version,source_system,updated_at
TRF-000000001,SYN-TRF-001,SRV-000000001,,COMMISSIONER,GENERAL_MEDICINE,GBP,87.50,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
TRF-000000002,SYN-TRF-002,SRV-000000002,,INSURER,CARDIOLOGY,GBP,100.00,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
TRF-000000003,SYN-TRF-003,SRV-000000003,,SELF_PAY,ORTHOPAEDICS,GBP,112.50,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
TRF-000000004,SYN-TRF-004,SRV-000000004,PRD-000000004,CORPORATE,ONCOLOGY,GBP,125.00,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
TRF-000000005,SYN-TRF-005,SRV-000000005,,RESEARCH_SPONSOR,PATHOLOGY,GBP,137.50,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
TRF-000000006,SYN-TRF-006,SRV-000000006,,OTHER,GENERAL_MEDICINE,GBP,150.00,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
TRF-000000007,SYN-TRF-007,SRV-000000007,,COMMISSIONER,CARDIOLOGY,GBP,162.50,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
TRF-000000008,SYN-TRF-008,SRV-000000008,PRD-000000008,INSURER,ORTHOPAEDICS,GBP,175.00,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
TRF-000000009,SYN-TRF-009,SRV-000000009,,SELF_PAY,ONCOLOGY,GBP,187.50,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
TRF-000000010,SYN-TRF-010,SRV-000000010,,CORPORATE,PATHOLOGY,GBP,200.00,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
TRF-000000011,SYN-TRF-011,SRV-000000011,,RESEARCH_SPONSOR,GENERAL_MEDICINE,GBP,212.50,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
TRF-000000012,SYN-TRF-012,SRV-000000012,PRD-000000004,OTHER,CARDIOLOGY,GBP,225.00,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
TRF-000000013,SYN-TRF-013,SRV-000000001,,COMMISSIONER,GENERAL_MEDICINE,GBP,237.50,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
TRF-000000014,SYN-TRF-014,SRV-000000002,,INSURER,CARDIOLOGY,GBP,250.00,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
TRF-000000015,SYN-TRF-015,SRV-000000003,,SELF_PAY,ORTHOPAEDICS,GBP,262.50,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
TRF-000000016,SYN-TRF-016,SRV-000000004,PRD-000000008,CORPORATE,ONCOLOGY,GBP,275.00,2022-01-02,,true,1,SYN-BILLING,2025-01-01T09:00:00
