previous_status,new_status,event_type,allowed_flag,requires_owner_flag,terminal_flag
OPEN,TRIAGED,TRIAGE,true,false,false
TRIAGED,ASSIGNED,ASSIGNMENT,true,true,false
ASSIGNED,INVESTIGATING,INVESTIGATION_STARTED,true,true,false
INVESTIGATING,PENDING_SOURCE_CORRECTION,SOURCE_REVIEW,true,true,false
INVESTIGATING,PENDING_FINANCE_REVIEW,FINANCE_REVIEW,true,true,false
INVESTIGATING,PENDING_CLINICAL_REVIEW,CLINICAL_REVIEW,true,true,false
PENDING_SOURCE_CORRECTION,RESOLVED,RESOLUTION,true,true,false
PENDING_FINANCE_REVIEW,RESOLVED,RESOLUTION,true,true,false
PENDING_CLINICAL_REVIEW,RESOLVED,RESOLUTION,true,true,false
RESOLVED,CLOSED,CLOSURE,true,true,true
OPEN,ACCEPTED_RISK,RISK_ACCEPTED,true,true,true
OPEN,FALSE_POSITIVE,FALSE_POSITIVE,true,true,true
CLOSED,REOPENED,REOPENED,true,true,false
REOPENED,INVESTIGATING,INVESTIGATION_STARTED,true,true,false
