field,masking_policy_id
synthetic_nhs_number,mask_direct_identifier_full_redaction
source_patient_identifier,mask_direct_identifier_full_redaction
gateway_reference,mask_direct_identifier_full_redaction
patient_pseudonym,mask_patient_identifiers
birth_date,mask_patient_identifiers
postcode_sector,mask_patient_identifiers
external_reference,mask_payment_reference
payment_attempt_id,mask_payment_reference
evidence_reference,mask_evidence_reference
model_explanation_reference,mask_evidence_reference
credential_reference,mask_secret_metadata
service_account_identifier,mask_secret_metadata
secret_reference,mask_secret_metadata
