check_id,service_id,input_type,baseline_state,failure_state,source_ref
chk_snowflake_contract_available,snowflake_platform,contract_status,HEALTHY,UNHEALTHY,snowflake/config/foundation.json
chk_snowflake_rbac_metadata,snowflake_platform,control_status,HEALTHY,DEGRADED,snowflake/roles/040_roles.sql
chk_snowflake_inventory_intact,snowflake_platform,evidence_integrity,HEALTHY,UNHEALTHY,snowflake/inventory/foundation.json
chk_snowflake_no_destructive_drift,snowflake_platform,drift_status,HEALTHY,UNHEALTHY,deployment/reference/drift_report.json
chk_dbt_parse_status,dbt_staging,job_status,HEALTHY,UNHEALTHY,dbt/dbt_project.yml
chk_dbt_contract_coverage,dbt_staging,contract_status,HEALTHY,DEGRADED,dbt/models
chk_dbt_freshness_metadata,dbt_staging,freshness,HEALTHY,DEGRADED,dbt/models/sources
chk_dbt_model_graph_integrity,dbt_staging,dependency_availability,HEALTHY,UNHEALTHY,dbt/models
chk_dbt_artifact_checksum,dbt_staging,evidence_integrity,HEALTHY,DEGRADED,dbt/target
chk_airflow_dag_import,airflow_orchestration,job_status,HEALTHY,UNHEALTHY,orchestration/airflow/dags
chk_airflow_task_dependencies,airflow_orchestration,dependency_availability,HEALTHY,DEGRADED,orchestration/airflow/dags
chk_airflow_connected_mode_disabled,airflow_orchestration,control_status,HEALTHY,UNHEALTHY,orchestration/README.md
chk_airflow_run_manifest,airflow_orchestration,evidence_integrity,HEALTHY,DEGRADED,docs/operations/orchestration-evidence.md
chk_airflow_failure_callback_metadata,airflow_orchestration,control_status,HEALTHY,DEGRADED,orchestration/airflow/include/callbacks.py
chk_dataiku_trusted_inputs,dataiku_analytics,contract_status,HEALTHY,UNHEALTHY,dataiku/projects/healthcare_analytics/datasets/trusted_inputs.yaml
chk_dataiku_model_approval,dataiku_analytics,control_status,HEALTHY,DEGRADED,dataiku/projects/healthcare_analytics/governance/approval_gates.yaml
chk_dataiku_feature_set_version,dataiku_analytics,contract_status,HEALTHY,DEGRADED,dataiku/projects/healthcare_analytics/features/billing_exception_features.yaml
chk_dataiku_model_card,dataiku_analytics,evidence_integrity,HEALTHY,DEGRADED,dataiku/projects/healthcare_analytics/models/model_card.md
chk_dataiku_prediction_contract,dataiku_analytics,contract_status,HEALTHY,UNHEALTHY,dataiku/contracts/prediction_output_contract.yaml
chk_feature_registry_valid,feature_store,contract_status,HEALTHY,UNHEALTHY,feature_store/registry
chk_feature_point_in_time_metadata,feature_store,contract_status,HEALTHY,DEGRADED,feature_store/contracts/historical_retrieval_contract.yaml
chk_feature_freshness_state,feature_store,freshness,HEALTHY,DEGRADED,feature_store/reference/outputs/validation_report.json
chk_feature_consumer_compatibility,feature_store,contract_status,HEALTHY,DEGRADED,feature_store/registry/consumers.yaml
chk_feature_retrieval_evidence,feature_store,evidence_integrity,HEALTHY,DEGRADED,feature_store/reference/outputs/checksums.sha256
chk_fabric_semantic_metadata,fabric_semantic_model,contract_status,HEALTHY,UNHEALTHY,powerbi/reference/semantic_model_manifest.json
chk_fabric_relationship_integrity,fabric_semantic_model,dependency_availability,HEALTHY,DEGRADED,powerbi/reference/relationship_catalogue.csv
chk_fabric_measure_kpi_integrity,fabric_semantic_model,contract_status,HEALTHY,DEGRADED,powerbi/reference/measure_catalogue.csv
chk_fabric_rls_ols_metadata,fabric_semantic_model,control_status,HEALTHY,DEGRADED,powerbi/reference/security_role_catalogue.csv
chk_powerbi_refresh_contract,powerbi_reports,freshness,HEALTHY,DEGRADED,powerbi/reference/refresh_catalogue.csv
chk_powerbi_report_specification,powerbi_reports,contract_status,HEALTHY,DEGRADED,powerbi/reference/report_catalogue.csv
chk_powerbi_security_metadata,powerbi_reports,control_status,HEALTHY,UNHEALTHY,powerbi/reference/security_role_catalogue.csv
