milestone,evidence_document,exists,primary_reference,test_reference
1,docs/evidence/milestone-1-evidence.md,true,docs/evidence/milestone-1-evidence.md,tests
2,docs/evidence/milestone-2-evidence.md,true,data/samples/small/checksums.sha256,tests
3,docs/evidence/milestone-3-evidence.md,true,docs/evidence/milestone-3-evidence.md,tests
4,docs/evidence/milestone-4-evidence.md,true,data/samples/interoperability/manifests/checksums.sha256,tests
5,docs/evidence/milestone-5-evidence.md,true,docs/evidence/milestone-5-evidence.md,tests
6,docs/evidence/milestone-6-evidence.md,true,docs/evidence/milestone-6-evidence.md,tests
7,docs/evidence/milestone-7-evidence.md,true,docs/evidence/milestone-7-evidence.md,tests
8,docs/evidence/milestone-8-evidence.md,true,docs/evidence/milestone-8-evidence.md,tests
9,docs/evidence/milestone-9-evidence.md,true,docs/evidence/milestone-9-evidence.md,tests
10,docs/evidence/milestone-10-evidence.md,true,docs/evidence/milestone-10-evidence.md,tests/unit/test_airflow_milestone10.py
11,docs/evidence/milestone-11-evidence.md,true,dataiku/projects/healthcare_analytics/reference_outputs/checksums.sha256,tests/unit/test_dataiku_milestone11.py
12,docs/evidence/milestone-12-evidence.md,true,feature_store/reference/outputs/checksums.sha256,tests/unit/test_feature_store_milestone12.py
13,docs/evidence/milestone-13-evidence.md,true,powerbi/reference/checksums.sha256,tests/unit/test_powerbi_milestone13.py
14,docs/evidence/milestone-14-evidence.md,true,governance/reference/checksums.sha256,tests/unit/test_governance_milestone14.py
15,docs/evidence/milestone-15-evidence.md,true,deployment/reference/checksums.sha256,tests/unit/test_deployment_milestone15.py
16,docs/evidence/milestone-16-evidence.md,true,recovery/reference/checksums.sha256,tests/unit/test_recovery_milestone16.py
17,docs/evidence/milestone-17-evidence.md,true,operations/reference/checksums.sha256,tests/unit/test_operations_milestone17.py
18,docs/evidence/milestone-18-evidence.md,true,portfolio/reference/checksums.sha256,tests/unit/test_portfolio_milestone18.py
