relationship_id,from_table,from_column,to_table,to_column,cardinality,filter_direction,active
rel_date_appointments,dim_date,date,fact_appointments,appointment_datetime,one_to_many,single,True
rel_patient_appointments,dim_patient,patient_key,fact_appointments,patient_key,one_to_many,single,True
rel_org_appointments,dim_organisation,organisation_key,fact_appointments,organisation_key,one_to_many,single,True
rel_date_encounters,dim_date,date,fact_encounters,start_datetime,one_to_many,single,True
rel_patient_encounters,dim_patient,patient_key,fact_encounters,patient_key,one_to_many,single,True
rel_payer_invoices,dim_payer,payer_key,fact_invoices,payer_key,one_to_many,single,True
rel_date_invoices,dim_date,date,fact_invoices,invoice_date,one_to_many,single,True
rel_invoice_payments,fact_invoices,invoice_key,fact_payments,invoice_key,one_to_many,single,True
rel_invoice_balances,fact_invoices,invoice_key,fact_outstanding_balances,invoice_key,one_to_many,single,True
rel_date_controls,dim_date,date,fact_reconciliation_controls,control_date,one_to_many,single,True
rel_control_exceptions,fact_reconciliation_controls,reconciliation_control_key,fact_billing_exceptions,reconciliation_control_key,one_to_many,single,True
rel_date_exceptions,dim_date,date,fact_billing_exceptions,detected_at,one_to_many,single,False
