table_id,display_name,source_model,grain,primary_key,sensitivity,owner,refresh_group,storage_mode,endorsement_status,lineage
dim_date,Date,deterministic_date_dimension_spec,one calendar date,date,internal,BI_ANALYTICS,periodic_reference_data,Import,Draft,repository_date_specification
dim_patient,Patient,core_patient,one canonical synthetic patient,patient_key,synthetic_restricted,BI_ANALYTICS,periodic_reference_data,Import,Draft,dbt.curated.core.core_patient
dim_organisation,Organisation,core_organisation,one organisation,organisation_key,synthetic_restricted,BI_ANALYTICS,periodic_reference_data,Import,Draft,dbt.curated.core.core_organisation
dim_provider,Provider,core_provider,one provider,provider_key,synthetic_restricted,BI_ANALYTICS,periodic_reference_data,Import,Draft,dbt.curated.core.core_provider
dim_payer,Payer,dim_payer,one payer,payer_key,synthetic_financial_restricted,FINANCE_ANALYTICS,periodic_reference_data,Import,Draft,dbt.curated.billing.dim_payer
fact_appointments,Appointments,core_appointment,one appointment,appointment_key,synthetic_restricted,BI_ANALYTICS,intraday_operational,Import,Draft,dbt.curated.core.core_appointment
fact_encounters,Encounters,core_encounter,one encounter,encounter_key,synthetic_restricted,BI_ANALYTICS,intraday_operational,Import,Draft,dbt.curated.core.core_encounter
fact_invoices,Invoices,fct_invoice,one governed invoice,invoice_key,synthetic_financial_restricted,FINANCE_ANALYTICS,daily_finance,Import,Draft,dbt.curated.billing.fct_invoice
fact_payments,Payments,fct_payment,one payment,payment_key,synthetic_financial_restricted,FINANCE_ANALYTICS,daily_finance,Import,Draft,dbt.curated.finance.fct_payment
fact_outstanding_balances,Outstanding Balances,fct_outstanding_balance,one invoice balance snapshot,balance_snapshot_key,synthetic_financial_restricted,FINANCE_ANALYTICS,daily_finance,Import,Draft,dbt.curated.finance.fct_outstanding_balance
fact_reconciliation_controls,Reconciliation Controls,reconciliation_control_result,"one control date, source system, entity, currency and rule",reconciliation_control_key,synthetic_financial_restricted,REVENUE_ASSURANCE,daily_assurance,Import,Draft,dbt.curated.assurance.reconciliation_control_result
fact_billing_exceptions,Billing Exceptions,reconciliation_exception,one affected object and failed rule,reconciliation_exception_key,synthetic_financial_restricted,REVENUE_ASSURANCE,daily_assurance,Import,Draft,dbt.curated.assurance.reconciliation_exception
fact_predictions,Predictions,dataiku_prediction_output_contract,one governed batch prediction,prediction_id,synthetic_financial_restricted,DATA_SCIENCE,model_output_refresh,Import,Draft,dataiku.contracts.prediction_output_contract
